TICKER,PER,Date,TIME,Open,High,Low,Close,Total Trade Quantity,Turnover (Lacs)
ddam-D1,D1,20180826,000000,331,331,299,330,1294816,0
ddam-D1,D1,20180827,000000,342,342,342,342,621449,0
ddam-D1,D1,20180828,000000,359,359,359,359,11654,0
ddam-D1,D1,20180829,000000,360,360,360,360,1,0
ddam-D1,D1,20180901,000000,360,360,360,360,167392,0
ddam-D1,D1,20180902,000000,378,378,378,378,4216,0
ddam-D1,D1,20180903,000000,378,378,378,378,11,0
ddam-D1,D1,20180904,000000,378,378,378,378,12110,0
ddam-D1,D1,20180905,000000,380,380,380,380,167392,0
ddam-D1,D1,20180908,000000,399,399,399,399,151194,0
ddam-D1,D1,20180909,000000,419,419,419,419,351194,0
ddam-D1,D1,20180912,000000,440,462,440,462,302388,0
ddam-D1,D1,20180915,000000,484,484,484,484,134897,0
ddam-D1,D1,20180916,000000,508,508,508,508,126801,0
ddam-D1,D1,20180917,000000,533,533,533,533,124699,0
ddam-D1,D1,20180923,000000,862,904,820,904,1958097,0
ddam-D1,D1,20180924,000000,918,918,918,918,69092,0
ddam-D1,D1,20180925,000000,965,965,965,965,61363,0
ddam-D1,D1,20180926,000000,1010,1010,1010,1010,229006,0
ddam-D1,D1,20180929,000000,1061,1061,1061,1061,21752,0
ddam-D1,D1,20180930,000000,1080,1080,1080,1080,106909,0
ddam-D1,D1,20181001,000000,1134,1191,1134,1191,590020,0
ddam-D1,D1,20181002,000000,1229,1229,1131,1131,997133,0
ddam-D1,D1,20181003,000000,1090,1175,1090,1116,1332044,0
ddam-D1,D1,20181006,000000,1150,1154,1052,1052,773489,0
ddam-D1,D1,20181007,000000,1026,1076,1024,1024,355812,0
ddam-D1,D1,20181008,000000,988,988,988,988,53978,0
ddam-D1,D1,20181009,000000,938,1017,938,938,2161879,0
ddam-D1,D1,20181010,000000,918,918,904,904,199506,0
ddam-D1,D1,20181013,000000,860,860,860,860,47322,0
ddam-D1,D1,20181014,000000,828,895,828,895,296831,0
ddam-D1,D1,20181015,000000,882,882,882,882,47373,0
ddam-D1,D1,20181016,000000,915,915,915,915,138111,0
ddam-D1,D1,20181017,000000,961,961,915,961,569520,0
ddam-D1,D1,20181020,000000,1007,1008,962,1008,242849,0
ddam-D1,D1,20181021,000000,1034,1034,1034,1034,8000,0
ddam-D1,D1,20181022,000000,963,963,960,960,54495,0
ddam-D1,D1,20181023,000000,916,917,916,916,89618,0
ddam-D1,D1,20181024,000000,870,870,870,870,64563,0
ddam-D1,D1,20181027,000000,828,870,828,828,424174,0
ddam-D1,D1,20181028,000000,840,869,840,869,99826,0
ddam-D1,D1,20181029,000000,909,909,909,909,220288,0
ddam-D1,D1,20181031,000000,946,954,918,951,185699,0
ddam-D1,D1,20181103,000000,970,970,907,923,183281,0
ddam-D1,D1,20181104,000000,936,960,901,918,308700,0
ddam-D1,D1,20181105,000000,897,964,897,911,95606,0
ddam-D1,D1,20181106,000000,953,953,896,910,122747,0
ddam-D1,D1,20181110,000000,907,918,878,918,224364,0
ddam-D1,D1,20181111,000000,907,933,902,902,133052,0
ddam-D1,D1,20181112,000000,941,941,915,918,125591,0
ddam-D1,D1,20181113,000000,953,953,918,930,126118,0
ddam-D1,D1,20181114,000000,945,981,931,981,353074,0
ddam-D1,D1,20181117,000000,991,1025,991,1025,346597,0
ddam-D1,D1,20181118,000000,1067,1068,975,1011,165329,0
ddam-D1,D1,20181119,000000,989,1050,989,1036,190395,0
ddam-D1,D1,20181120,000000,1080,1080,1007,1041,75622,0
ddam-D1,D1,20181121,000000,1020,1050,1018,1018,295151,0
ddam-D1,D1,20181124,000000,999,1039,967,967,98740,0
ddam-D1,D1,20181126,000000,928,1016,926,942,284547,0
ddam-D1,D1,20181127,000000,992,992,945,992,186301,0
ddam-D1,D1,20181128,000000,1033,1034,941,987,254077,0
ddam-D1,D1,20181201,000000,940,959,934,956,80759,0
ddam-D1,D1,20181202,000000,976,987,976,976,314714,0
ddam-D1,D1,20181203,000000,1021,1021,976,999,79711,0
ddam-D1,D1,20181204,000000,1011,1011,976,1001,155978,0
ddam-D1,D1,20181205,000000,1021,1021,987,1003,100378,0
ddam-D1,D1,20181208,000000,978,1009,978,999,250499,0
ddam-D1,D1,20181209,000000,999,1023,987,1011,375523,0
ddam-D1,D1,20181210,000000,999,1052,999,1033,241059,0
ddam-D1,D1,20181211,000000,1033,1051,1015,1020,264714,0
ddam-D1,D1,20181212,000000,1022,1067,1022,1067,472864,0
ddam-D1,D1,20181215,000000,1097,1097,1069,1096,330728,0
ddam-D1,D1,20181216,000000,1109,1142,1073,1073,213470,0
ddam-D1,D1,20181217,000000,1057,1079,1037,1040,198098,0
ddam-D1,D1,20181218,000000,1034,1034,1011,1013,138636,0
ddam-D1,D1,20181219,000000,982,1022,982,1022,105368,0
ddam-D1,D1,20181222,000000,1069,1069,1034,1055,162300,0
ddam-D1,D1,20181223,000000,1069,1090,1031,1057,189901,0
ddam-D1,D1,20181224,000000,1101,1101,1050,1094,147563,0
ddam-D1,D1,20181225,000000,1094,1094,1059,1059,31898,0
ddam-D1,D1,20181226,000000,1057,1099,1057,1085,230415,0
ddam-D1,D1,20181229,000000,1085,1098,1063,1090,91723,0
ddam-D1,D1,20181230,000000,1047,1102,1047,1071,92581,0
ddam-D1,D1,20181231,000000,1057,1089,1057,1079,139350,0
ddam-D1,D1,20190101,000000,1068,1085,1061,1083,206900,0
ddam-D1,D1,20190102,000000,1128,1128,1128,1128,55274,0
ddam-D1,D1,20190105,000000,1185,1185,1185,1185,50896,0
ddam-D1,D1,20190106,000000,1244,1244,1186,1235,1215216,0
ddam-D1,D1,20190107,000000,1229,1261,1171,1171,733894,0
ddam-D1,D1,20190108,000000,1144,1245,1144,1245,635575,0
ddam-D1,D1,20190109,000000,1284,1289,1241,1252,660192,0
ddam-D1,D1,20190112,000000,1275,1324,1209,1286,550852,0
ddam-D1,D1,20190113,000000,1320,1330,1264,1320,376762,0
ddam-D1,D1,20190114,000000,1320,1362,1314,1362,577643,0
ddam-D1,D1,20190115,000000,1410,1428,1378,1428,418500,0
ddam-D1,D1,20190116,000000,1469,1480,1378,1480,404395,0
ddam-D1,D1,20190119,000000,1549,1550,1504,1550,972618,0
ddam-D1,D1,20190120,000000,1585,1585,1468,1468,701830,0
ddam-D1,D1,20190121,000000,1492,1492,1419,1458,229336,0
ddam-D1,D1,20190122,000000,1492,1507,1424,1487,291110,0
ddam-D1,D1,20190123,000000,1492,1552,1492,1552,609318,0
ddam-D1,D1,20190126,000000,1617,1617,1617,1617,186259,0
ddam-D1,D1,20190127,000000,1698,1698,1698,1698,132523,0
ddam-D1,D1,20190128,000000,1768,1783,1725,1783,429013,0
ddam-D1,D1,20190129,000000,1856,1856,1776,1788,631002,0
ddam-D1,D1,20190130,000000,1848,1848,1733,1734,799060,0
ddam-D1,D1,20190202,000000,1791,1826,1670,1814,701339,0
ddam-D1,D1,20190317,000000,2020,2069,1919,2037,15309766,0
ddam-D1,D1,20190318,000000,2062,2062,2062,2062,1062419,0
ddam-D1,D1,20190319,000000,2165,2165,2165,2165,731190,0
ddam-D1,D1,20190325,000000,2272,2272,2080,2169,13443738,0
ddam-D1,D1,20190326,000000,2154,2209,2124,2153,6247002,0
ddam-D1,D1,20190327,000000,2154,2259,2126,2259,8477630,0
ddam-D1,D1,20190330,000000,2298,2304,2224,2304,4546136,0
ddam-D1,D1,20190331,000000,2388,2388,2283,2316,4494372,0
ddam-D1,D1,20190406,000000,2357,2366,2239,2239,6929432,0
ddam-D1,D1,20190407,000000,2297,2338,2231,2286,7293341,0
ddam-D1,D1,20190408,000000,2316,2378,2247,2358,4835784,0
ddam-D1,D1,20190409,000000,2338,2368,2288,2308,3489834,0
ddam-D1,D1,20190410,000000,2288,2423,2288,2373,10244848,0
ddam-D1,D1,20190413,000000,2376,2487,2373,2487,8939344,0
ddam-D1,D1,20190414,000000,2583,2583,2507,2583,4604750,0
ddam-D1,D1,20190415,000000,2710,2710,2710,2710,956464,0
ddam-D1,D1,20190416,000000,2745,2745,2575,2575,11023148,0
ddam-D1,D1,20190417,000000,2522,2597,2476,2545,3169656,0
ddam-D1,D1,20190420,000000,2557,2642,2557,2641,4613850,0
ddam-D1,D1,20190422,000000,2717,2717,2567,2587,7814516,0
ddam-D1,D1,20190423,000000,2685,2685,2537,2560,3577262,0
ddam-D1,D1,20190424,000000,2627,2727,2587,2727,5746214,0
ddam-D1,D1,20190427,000000,2824,2824,2786,2824,1796026,0
ddam-D1,D1,20190428,000000,2963,2963,2876,2963,9027976,0
ddam-D1,D1,20190429,000000,2965,3004,2807,2895,8189447,0
ddam-D1,D1,20190430,000000,2930,2935,2761,2865,5845762,0
ddam-D1,D1,20190501,000000,2885,2988,2867,2988,3992694,0
ddam-D1,D1,20190504,000000,3122,3122,3122,3122,1700571,0
ddam-D1,D1,20190505,000000,3277,3277,2986,3277,5970839,0
ddam-D1,D1,20190506,000000,3363,3422,3098,3353,8167126,0
ddam-D1,D1,20190507,000000,3274,3448,3120,3232,7634730,0
ddam-D1,D1,20190508,000000,3233,3420,3233,3420,6427694,0
ddam-D1,D1,20190511,000000,3581,3581,3469,3581,6359627,0
ddam-D1,D1,20190512,000000,3753,3753,3538,3753,11216085,0
ddam-D1,D1,20190518,000000,4367,4585,4367,4585,3309896,0
ddam-D1,D1,20190519,000000,4763,4763,4755,4762,3759759,0
ddam-D1,D1,20190520,000000,5001,5001,5001,5001,1613611,0
ddam-D1,D1,20190521,000000,5251,5251,5251,5251,550087,0
ddam-D1,D1,20190522,000000,5512,5512,5512,5512,1242041,0
ddam-D1,D1,20190525,000000,5788,5788,5788,5788,310667,0
ddam-D1,D1,20190526,000000,6032,6032,6032,6032,952975,0
ddam-D1,D1,20190528,000000,6333,6333,5730,6107,27908811,0
ddam-D1,D1,20190529,000000,6156,6300,6118,6300,5920931,0
ddam-D1,D1,20190601,000000,6536,6583,6327,6583,3162674,0
ddam-D1,D1,20190602,000000,6849,6849,6849,6849,2092179,0
ddam-D1,D1,20190608,000000,7191,7550,7191,7550,6513559,0
ddam-D1,D1,20190609,000000,7920,7920,7660,7920,4794825,0
ddam-D1,D1,20190610,000000,8315,8315,8315,8315,785143,0
ddam-D1,D1,20190611,000000,8730,8730,7959,8730,9371434,0
ddam-D1,D1,20190612,000000,8964,8965,8556,8965,21524040,0
